eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
328,5.961364030838013,S,"('192.168.0.17', 5001)",1752112723.7317693
329,5.608712673187256,S,"('192.168.0.17', 5001)",1752112724.125641
330,11.536857604980469,S,"('192.168.0.17', 5001)",1752112724.98287
331,11.633289337158203,S,"('192.168.0.15', 5001)",1752112725.126182
332,12.690630197525024,S,"('192.168.0.15', 5001)",1752112726.3936627
333,14.865527153015137,S,"('192.168.0.15', 5001)",1752112726.9702024
334,14.807328701019287,S,"('192.168.0.18', 5001)",1752112727.4527159
335,14.753756284713745,S,"('192.168.0.16', 5001)",1752112727.953084
336,15.064627170562744,S,"('192.168.0.18', 5001)",1752112728.7651174
337,14.873691320419312,S,"('192.168.0.15', 5001)",1752112729.112841
338,15.877721786499023,S,"('192.168.0.18', 5001)",1752112729.882627
339,16.1642906665802,S,"('192.168.0.15', 5001)",1752112730.4000154
340,14.439037084579468,S,"('192.168.0.15', 5001)",1752112731.5453258
341,15.13309383392334,S,"('192.168.0.17', 5001)",1752112733.5923295
342,15.415537118911743,S,"('192.168.0.15', 5001)",1752112733.905331
343,15.77353549003601,S,"('192.168.0.16', 5001)",1752112736.3001404
344,15.646677494049072,S,"('192.168.0.18', 5001)",1752112740.7592714
345,16.288439512252808,S,"('192.168.0.16', 5001)",1752112740.7698474
346,16.07062292098999,S,"('192.168.0.18', 5001)",1752112742.0280476
347,15.68445372581482,S,"('192.168.0.18', 5001)",1752112742.2767808
348,17.528286457061768,S,"('192.168.0.15', 5001)",1752112743.8771963
349,14.286805391311646,S,"('192.168.0.15', 5001)",1752112744.4994113
350,13.866219758987427,S,"('192.168.0.15', 5001)",1752112746.2995932
351,14.45551323890686,S,"('192.168.0.16', 5001)",1752112746.9888785
352,16.106077432632446,S,"('192.168.0.16', 5001)",1752112748.28116
353,16.49002718925476,S,"('192.168.0.16', 5001)",1752112748.8436089
354,16.552658319473267,S,"('192.168.0.15', 5001)",1752112748.9457674
355,16.4306902885437,S,"('192.168.0.17', 5001)",1752112749.896618
356,16.364317417144775,S,"('192.168.0.18', 5001)",1752112750.330996
357,17.635223627090454,S,"('192.168.0.16', 5001)",1752112751.6071386
358,18.78748083114624,S,"('192.168.0.16', 5001)",1752112752.0849276
359,16.666375875473022,S,"('192.168.0.17', 5001)",1752112753.4057066
360,18.11340618133545,S,"('192.168.0.18', 5001)",1752112754.1490266
